sector,label,export_exposure,input_exposure,output_loss
HH,High input / high export,0.17333333335643283,0.09557183194200705,-32.2870957987267
HL,High input / low export,0.008666666667821642,0.07934705600582204,-20.18286365919049
LH,Low input / high export,0.17333333335643283,0.05106412240606785,-24.21358533422977
LL,Low input / low export,0.008666666667821642,0.055364266896241895,-17.145387922163923
