sector,HtM,Low wealth,Wealth Q2,Wealth Q3,High wealth
HH,-2.9410622996454028,-3.5759784334345235,-2.763919381763369,-2.150187762847555,-1.6616971605963204
HL,-1.4616058269734111,-1.9745279193390863,-1.4579296959374655,-1.017297308786158,-0.7065775020294374
LH,-2.5542578520543424,-3.29832426375124,-2.7438130617884915,-2.1738142519396653,-1.6201292979238002
LL,-1.3033689093435386,-1.8128906568512737,-1.2382421039250135,-0.8530442314800712,-0.6213591821011888
NT,-0.8831268817373172,-1.8694298618018412,-1.607000292696814,-1.394190638009074,-1.208471973298031
