scenario,variable,measure,steady_state,period_t,change_pp
Import tariff,c,gini,0.17007943133870873,0.16843771923472495,-0.16417121039837834
Import tariff,ce_avg,gini,0.09088320241794556,0.09090090641968851,0.0017704001742946396
Export tariff,c,gini,0.17007943133870873,0.17367638017929643,0.3596948840587699
Export tariff,ce_avg,gini,0.09088320241794556,0.09155860158698081,0.06753991690352512
Full trade war,c,gini,0.17007943133870873,0.1719022061925668,0.18227748538580668
Full trade war,ce_avg,gini,0.09088320241794556,0.09150478811731722,0.062158569937165176
