scenario,aggregate,HH,HL,LH,LL,NT
Import tariff,0.07016904669312485,-0.3351590357891898,-0.30658752235473985,-0.2669684897800062,-0.27164476286276606,0.598495017128764
Export tariff,-0.35509832350970605,-0.09070515090261466,0.5821617242026011,-0.026085800785136115,0.5685001428487935,-0.8810417415974547
Full trade war,-0.2831360554580442,-0.4221102416154032,0.27530428045214883,-0.2890110984307803,0.29684999100914045,-0.2828883800662374
